voornaam,naam,klas,email
Noah,Peeters,4-ENG-A,noah.peeters@example.edu
Emma,Janssens,4-ENG-A,emma.janssens@example.edu
Lucas,Maes,4-ENG-A,lucas.maes@example.edu
Mila,Wouters,4-ENG-A,mila.wouters@example.edu
Finn,De Smet,4-ENG-A,finn.desmet@example.edu
Olivia,Claes,4-ENG-A,olivia.claes@example.edu
Liam,Goossens,4-ENG-A,liam.goossens@example.edu
Nora,Willems,4-ENG-A,nora.willems@example.edu
Lars,Aerts,4-ENG-A,lars.aerts@example.edu
Ines,Vermeulen,4-ENG-A,ines.vermeulen@example.edu
Julia,Martens,4-SPA-B,julia.martens@example.edu
Mateo,Jacobs,4-SPA-B,mateo.jacobs@example.edu
Lien,Van Damme,4-SPA-B,lien.vandamme@example.edu
Diego,Coppens,4-SPA-B,diego.coppens@example.edu
Fien,Verhoeven,4-SPA-B,fien.verhoeven@example.edu
Sam,Dubois,4-SPA-B,sam.dubois@example.edu
Yasmine,Bogaert,4-SPA-B,yasmine.bogaert@example.edu
Tuur,Michiels,4-SPA-B,tuur.michiels@example.edu
Lotte,Simon,4-SPA-B,lotte.simon@example.edu
Íñigo,Fernández,4-SPA-B,inigo.fernandez@example.edu
